Index,Geography,Place,Demonym,Suffix
1,Continent,Afro-Eurasia,Afro-Eurasian,n
2,Continent,Africa,African,n
3,Continent,Eurasia,Eurasian,n
4,Continent,Asia,Asian,n
5,Continent,Middle East,Middle Eastern,ern
6,Continent,Europe,European,an
7,Continent,America,American,n
8,Continent,North America,North American,n
9,Continent,Caribbean,Caribbean,
10,Continent,Central America,Central American,n
11,Continent,Northern America,Northern American,n
12,Continent,South America,South American,n
13,Continent,Oceania,Oceanian,n
14,Continent,Australasia,Australasian,n
15,Continent,Zealandia,Zealandian,n
16,Continent,Pacific Islands,Pacific Islands,
17,Country,Abkhazia,Abkhazian,n
18,Country,Albania,Albanian,n
19,Country,Algeria,Algerian,n
20,Country,American Samoa,American Samoan,n
21,Country,Andorra,Andorran,n
22,Country,Angola,Angolan,n
23,Country,Anguilla,Anguillan,n
24,Country,Armenia,Armenian,n
25,Country,Aruba,Aruban,n
26,Country,Australia,Australian,n
27,Country,Austria,Austrian,n
28,Country,Azerbaijan,Azerbaijani,i
29,Country,Bahrain,Bahraini,i
30,Country,Bangladesh,Bangladeshi,i
31,Country,Belarus,Belarusian,ian
32,Country,Belize,Belizean,an
33,Country,Benin,Beninese,ese
34,Country,Bhutan,Bhutanese,ese
35,Country,Bolivia,Bolivian,n
36,Country,Brazil,Brazilian,ian
37,Country,Brunei,Bruneian,an
38,Country,Bulgaria,Bulgarian,n
39,Country,Burundi,Burundian,an
40,Country,Cambodia,Cambodian,n
41,Country,Cameroon,Cameroonian,ian
42,Country,Cape Verde,Cape Verdean,an
43,Country,Chad,Chadian,ian
44,Country,Chile,Chilean,an
45,Country,Christmas Island,Christmas Island,
46,Country,Colombia,Colombian,n
47,Country,Costa Rica,Costa Rican,n
48,Country,Croatia,Croatian,n
49,Country,Cuba,Cuban,n
50,Country,Djibouti,Djiboutian,an
51,Country,Dominica,Dominicand,nd
52,Country,Ecuador,Ecuadorian,ian
53,Country,Egypt,Egyptian,ian
54,Country,Equatorial Guinea,Equatorial Guinean,n
55,Country,Eritrea,Eritrean,n
56,Country,Estonia,Estonian,n
57,Country,Ethiopia,Ethiopian,n
58,Country,Fiji,Fijian,an
59,Country,French Polynesia,French Polynesian,n
60,Country,Gabon,Gabonese,ese
61,Country,Gambia,Gambian,n
62,Country,Georgia,Georgian,n
63,Country,Ghana,Ghanaian,ian
64,Country,Gibraltar,Gibraltar,
65,Country,Greenland,Greenlandic,ic
66,Country,Guadeloupe,Guadeloupe,
67,Country,Guatemala,Guatemalan,n
68,Country,Guinea,Guinean,n
69,Country,Haiti,Haitian,an
70,Country,Hong Kong,Hong Kong,
71,Country,Iceland,Icelandic,ic
72,Country,India,Indian,n
73,Country,Indonesia,Indonesian,n
74,Country,Iran,Iranian,ian
75,Country,Iraq,Iraqi,i
76,Country,Israel,Israeli,i
77,Country,Jamaica,Jamaican,n
78,Country,Japan,Japanese,ese
79,Country,Jordan,Jordanian,ian
80,Country,Kenya,Kenyan,n
81,Country,Kiribati,Kiribati,
82,Country,North Korea,North Korean,n
83,Country,South Korea,South Korean,n
84,Country,Kuwait,Kuwaiti,i
85,Country,Kyrgyzstan,Kyrgyzstani,i
86,Country,Latvia,Latvian,n
87,Country,Liberia,Liberian,n
88,Country,Libya,Libyan,n
89,Country,Liechtenstein,Liechtenstein,
90,Country,Lithuania,Lithuanian,n
91,Country,Luxembourg,Luxembourg,
92,Country,Malawi,Malawian,an
93,Country,Malaysia,Malaysian,n
94,Country,Mali,Malian,an
95,Country,Mauritania,Mauritanian,n
96,Country,Micronesia,Micronesian,n
97,Country,Moldova,Moldovan,n
98,Country,Mongolia,Mongolian,n
99,Country,Montserrat,Montserratian,ian
100,Country,Namibia,Namibian,n
101,Country,Nauru,Nauruan,an
102,Country,Nepal,Nepali,i
103,Country,New Caledonia,New Caledonian,n
104,Country,New Zealand,New Zealand,
105,Country,Nicaragua,Nicaraguan,n
106,Country,Niue,Niuean,an
107,Country,Niger,Nigerien,ien
108,Country,Nigeria,Nigerian,n
109,Country,Oman,Omani,i
110,Country,Pakistan,Pakistani,i
111,Country,Palau,Palauan,an
112,Country,Panama,Panamanian,nian
113,Country,Papua New Guinea,Papua New Guinean,n
114,Country,Paraguay,Paraguayan,an
115,Country,Peru,Peruvian,vian
116,Country,Pitcairn Island,Pitcairn Island,
117,Country,Qatar,Qatari,i
118,Country,Reunion,Reunionese,ese
119,Country,Romania,Romanian,n
120,Country,Russia,Russian,n
121,Country,Rwanda,Rwandan,n
122,Country,St. Lucia,St. Lucian,n
123,Country,Samoa,Samoan,n
124,Country,Senegal,Senegalese,ese
125,Country,Serbia,Serbian,n
126,Country,Sierra Leone,Sierra Leonean,an
127,Country,Singapore,Singapore,
128,Country,South Africa,South African,n
129,Country,South Ossetia,South Ossetian,n
130,Country,Sri Lanka,Sri Lankan,n
131,Country,Sudan,Sudanese,ese
132,Country,Surinam,Surinamese,ese
133,Country,Syria,Syrian,n
134,Country,Taiwan,Taiwanese,ese
135,Country,Tajikistan,Tajikistani,i
136,Country,Tanzania,Tanzanian,n
137,Country,Togo,Togolese,lese
138,Country,Tonga,Tongan,n
139,Country,Tunisia,Tunisian,n
140,Country,Tuvalu,Tuvaluan,an
141,Country,Uganda,Ugandan,n
142,Country,Uruguay,Uruguayan,an
143,Country,Uzbekistan,Uzbekistani,i
144,Country,Venezuela,Venezuelan,n
145,Country,Vietnam,Vietnamese,ese
146,Country,Yemen,Yemeni,i
147,Country,Zambia,Zambian,n
148,Country,Zimbabwe,Zimbabwean,an
